htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
nyp.33433074950605	"Tales and novels, by Maria Edgeworth ... v. 13-14"	"Edgeworth, Maria, 1767-1849."	1840-00-00	1	37175054			https://catalog.hathitrust.org/Record/008690925	https://hdl.handle.net/2027/nyp.33433074950605
nyp.33433074950613	"Tales and novels, by Maria Edgeworth ... v. 15-16"	"Edgeworth, Maria, 1767-1849."	1840-00-00	1	37175054			https://catalog.hathitrust.org/Record/008690925	https://hdl.handle.net/2027/nyp.33433074950613
nyp.33433074950621	"Tales and novels, by Maria Edgeworth ... v. 17-18"	"Edgeworth, Maria, 1767-1849."	1840-00-00	1	37175054			https://catalog.hathitrust.org/Record/008690925	https://hdl.handle.net/2027/nyp.33433074950621
nyp.33433074950639	"Tales and novels, by Maria Edgeworth ... v. 19-20"	"Edgeworth, Maria, 1767-1849."	1840-00-00	1	37175054			https://catalog.hathitrust.org/Record/008690925	https://hdl.handle.net/2027/nyp.33433074950639
nyp.33433074950555	"Tales and novels, by Maria Edgeworth ... v. 3-4"	"Edgeworth, Maria, 1767-1849."	1840-00-00	1	37175054			https://catalog.hathitrust.org/Record/008690925	https://hdl.handle.net/2027/nyp.33433074950555
nyp.33433074950563	"Tales and novels, by Maria Edgeworth ... v. 5-6"	"Edgeworth, Maria, 1767-1849."	1840-00-00	1	37175054			https://catalog.hathitrust.org/Record/008690925	https://hdl.handle.net/2027/nyp.33433074950563
nyp.33433074950571	"Tales and novels, by Maria Edgeworth ... v. 7-8"	"Edgeworth, Maria, 1767-1849."	1840-00-00	1	37175054			https://catalog.hathitrust.org/Record/008690925	https://hdl.handle.net/2027/nyp.33433074950571
nyp.33433074950589	"Tales and novels, by Maria Edgeworth ... v. 9-10"	"Edgeworth, Maria, 1767-1849."	1840-00-00	1	37175054			https://catalog.hathitrust.org/Record/008690925	https://hdl.handle.net/2027/nyp.33433074950589
mdp.39015063552775	"Tales of fashionable life, by Miss Edgeworth. "	"Edgeworth, Maria, 1767-1849."	1831-00-00	1	1298548			https://catalog.hathitrust.org/Record/000164683	https://hdl.handle.net/2027/mdp.39015063552775
nyp.33433074871017	"That sweet enemy, by Katharine Tynan (Mrs. Hinkson) ... "	"Tynan, Katharine, 1861-1931."	1901-00-00	1	37254862	3011498		https://catalog.hathitrust.org/Record/008668872	https://hdl.handle.net/2027/nyp.33433074871017
