htid	access	rights	ht_bib_key	description	source	source_bib_num	oclc_num	isbn	issn	lccn	title	imprint	rights_reason_code	rights_timestamp	us_gov_doc_flag	date	pub_place	lang	bib_fmt	collection_code	content_provider_code	responsible_entity_code	digitization_agent_code	access_profile_code	author	catalog_url	handle_url
chi.20176818	1	pd	52812	v.46 Jan-Jun 1909	CHI	1687937	1566573		21594643	4012669	The Dial  v.46 Jan-Jun 	"Jansen, McClurg, 1880-1929."	bib	2015-04-16 03:26:13	0	1909	nyu	eng	SE	CHI	uchicago	uchicago	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/chi.20176818
mdp.39015031048047	1	pd	52812	v.47 1909	MIU	990000528120106381	1566573		21594643	4012669	The Dial  v.47 1909	"Jansen, McClurg, 1880-1929."	bib	2012-10-03 04:46:05	0	1909	nyu	eng	SE	MIU	umich	umich	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/mdp.39015031048047
mdp.39015031048039	1	pd	52812	v.48 1910 Jan-Jun	MIU	990000528120106381	1566573		21594643	4012669	The Dial  v.48 1910 Jan	"Jansen, McClurg, 1880-1929."	bib	2012-10-03 04:43:08	0	1910	nyu	eng	SE	MIU	umich	umich	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/mdp.39015031048039
pst.000020201326	1	pd	52812	v.49 July-Dec.1910	PST	a1293421	1566573		21594643	4012669	The Dial  v.49 July-Dec	"Jansen, McClurg, 1880-1929."	bib	2013-04-10 19:25:10	0	1910	nyu	eng	SE	PST	psu	psu	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/pst.000020201326
mdp.39015031048161	1	pd	52812	v.50 1911 Jan-Jun	MIU	990000528120106381	1566573		21594643	4012669	The Dial  v.50 1911 Jan	"Jansen, McClurg, 1880-1929."	bib	2012-10-03 04:45:37	0	1911	nyu	eng	SE	MIU	umich	umich	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/mdp.39015031048161
uva.x004604851	1	pd	52812	v.51 July-Dec. 1911	UVA	u745810	1566573		21594643	4012669	The Dial  v.51 July-Dec	"Jansen, McClurg, 1880-1929."	bib	2017-06-05 03:25:10	0	1911	nyu	eng	SE	UVA	virginia	virginia	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/uva.x004604851
pst.000020201357	1	pd	52812	v.52 Jan.-June 1912	PST	a1293421	1566573		21594643	4012669	The Dial  v.52 Jan.-Jun	"Jansen, McClurg, 1880-1929."	bib	2013-04-10 19:25:10	0	1912	nyu	eng	SE	PST	psu	psu	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/pst.000020201357
mdp.39015031048245	1	pd	52812	v.53 1912 Jul-Dec	MIU	990000528120106381	1566573		21594643	4012669	The Dial  v.53 1912 Jul	"Jansen, McClurg, 1880-1929."	bib	2012-10-03 04:43:51	0	1912	nyu	eng	SE	MIU	umich	umich	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/mdp.39015031048245
mdp.39015008973425	1	pd	52812	v.54 1913 Jan-Jun	MIU	990000528120106381	1566573		21594643	4012669	The Dial  v.54 1913 Jan	"Jansen, McClurg, 1880-1929."	bib	2012-10-03 04:36:16	0	1913	nyu	eng	SE	MIU	umich	umich	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/mdp.39015008973425
mdp.39015031048187	1	pd	52812	v.55 1913 Jul-Dec	MIU	990000528120106381	1566573		21594643	4012669	The Dial  v.55 1913 Jul	"Jansen, McClurg, 1880-1929."	bib	2012-10-03 04:46:33	0	1913	nyu	eng	SE	MIU	umich	umich	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/mdp.39015031048187
pst.000020201395	1	pd	52812	v.56 Jan.-June 1914	PST	a1293421	1566573		21594643	4012669	The Dial  v.56 Jan.-Jun	"Jansen, McClurg, 1880-1929."	bib	2013-04-10 19:25:10	0	1914	nyu	eng	SE	PST	psu	psu	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/pst.000020201395
pst.000020201401	1	pd	52812	v.57 July-Dec.1914	PST	a1293421	1566573		21594643	4012669	The Dial  v.57 July-Dec	"Jansen, McClurg, 1880-1929."	bib	2013-04-10 19:25:10	0	1914	nyu	eng	SE	PST	psu	psu	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/pst.000020201401
pst.000020201418	1	pd	52812	v.58 Jan.-June 1915	PST	a1293421	1566573		21594643	4012669	The Dial  v.58 Jan.-Jun	"Jansen, McClurg, 1880-1929."	bib	2013-04-10 19:25:10	0	1915	nyu	eng	SE	PST	psu	psu	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/pst.000020201418
