htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
mdp.39015030668340	Secrets of the White Lady [by] Captain Henry Landau. 	Landau, Henry, b. 1892.	1935-00-00	1	573743	35018833		https://catalog.hathitrust.org/Record/000447268	https://hdl.handle.net/2027/mdp.39015030668340
uc1.b4450139	Shadow of peril / Aleksandr I. Zhdanov. 	Zhdanov, Aleksandr I., submarine commander.	1963-00-00	1	16162746	63018033//r71		https://catalog.hathitrust.org/Record/006242032	https://hdl.handle.net/2027/uc1.b4450139
uc1.a0005611850	Shark sense. 	Bradford, Roark, 1896-1948.	1944-00-00	1	10336883			https://catalog.hathitrust.org/Record/102216938	https://hdl.handle.net/2027/uc1.a0005611850
osu.32435071202014	Simple Simon / by C.W. Yerington ; illustrated. 	Yerington, C. W. 1856-	1905-00-00	1	25184226	05038101		https://catalog.hathitrust.org/Record/100593927	https://hdl.handle.net/2027/osu.32435071202014
dul1.ark:/13960/t2v41g826	Sixes and sevens / by O. Henry ... 	Henry, O., 1862-1910.	1911-00-00	1	7113119	11026407		https://catalog.hathitrust.org/Record/004436970	https://hdl.handle.net/2027/dul1.ark:/13960/t2v41g826
ucm.5326518967	The skylark : being an elegant collection of the best and newest songs in the English language. 	Evans, J., (Londres)	1797-00-00	1				https://catalog.hathitrust.org/Record/009288765	https://hdl.handle.net/2027/ucm.5326518967
uiug.30112039664757	The souvenir. 		1874-00-00	1	954215269			https://catalog.hathitrust.org/Record/101719642	https://hdl.handle.net/2027/uiug.30112039664757
mdp.39076002560410	The Spanish galleon : an adventure story / by Tudur Watkins ; with drawings by Jack Matthews. 	Watkins, Tudur.	1947-00-00	1	1710804	47003782		https://catalog.hathitrust.org/Record/009928781	https://hdl.handle.net/2027/mdp.39076002560410
mdp.39076002619505	Spice and the devil's cave / by Agnes Danforth Hewes ; decorated by Lynd Ward. 	Hewes, Agnes Danforth.	1930-00-00	1	654273	30020164		https://catalog.hathitrust.org/Record/009929741	https://hdl.handle.net/2027/mdp.39076002619505
uc1.31210024911560	Sprocket man : CPSC comics. 	U.S. Consumer Product Safety Commission.	1994-00-00	1	30910204			https://catalog.hathitrust.org/Record/102139912	https://hdl.handle.net/2027/uc1.31210024911560
osu.32435052941119	"The spy : a tale of the neutral ground / by the author of ""Precaution."" "	Cooper, James Fenimore, 1789-1851.	1822-00-00	1	14637942			https://catalog.hathitrust.org/Record/100591434	https://hdl.handle.net/2027/osu.32435052941119
mdp.39015071598455	A spy in old Detroit / by Anne Emery ; illustrated by H. B. Vestal. 	Emery, Anne, 1907-	1963-00-00	1	180349			https://catalog.hathitrust.org/Record/002743766	https://hdl.handle.net/2027/mdp.39015071598455
