htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
hvd.ah3ckz	Trinitarian sermons preached to a Unitarian congregation / with an introduction on the Unitarian failure 	"Gage, William Leonard, 1832-1889."	1859-00-00	1	"181921942,11901786"		"9780790538716,0790538717,0790538717(microfiche)"	https://catalog.hathitrust.org/Record/008891398	https://hdl.handle.net/2027/hvd.ah3ckz
hvd.ah4lbu	"Twelve lectures in illustration and defence of Christian Unitarianism: : delivered in the Meeting-House of the First Presbyterian Congregation, Belfast. / By J. Scott Porter, ... ; Printed at the request of the committee. "	"Porter, John Scott, 1801-1880."	1841-00-00	1	22096155			https://catalog.hathitrust.org/Record/009729539	https://hdl.handle.net/2027/hvd.ah4lbu
hvd.ah4qny	Two discourses on the union between God and Christ and the grounds of Unitarian non-conformity to the Church of England : with a prefatory address to Unitarian Christians / by Thomas Madge. 	"Madge, Thomas, 1786-1870."	1835-00-00	1	16508415			https://catalog.hathitrust.org/Record/009729510	https://hdl.handle.net/2027/hvd.ah4qny
hvd.32044081810533	"Unitarian Christianity vindicated : in four letters, addressed to the Rev. R.W. Hamilton, in reply to his pamphlet denominated ""The religionists designating themselves Unitarians, not entitled to the Christian name"" / by Joseph Hutton ... "	"Hutton, Joseph, 1790-1860."	1832-00-00	1	8030515			https://catalog.hathitrust.org/Record/009719593	https://hdl.handle.net/2027/hvd.32044081810533
hvd.32044081810723	"Unitarian missionary papers, consisting of The religious condition of the people, by George Beaumont; How to make Unitarian Christianity produce its due effect on the public mind, by J.C. Street [and] Unitarianism, its mission and its missionaries, by William Binns. "	"Binns, William. Street, James Christopher. Beaumont, George, Unitarian."	1861-00-00	1	20167276			https://catalog.hathitrust.org/Record/011601693	https://hdl.handle.net/2027/hvd.32044081810723
hvd.32044077892727	"Unitarian principles confirmed by Trinitarian testimonies : being selections from the works of eminent theologians belonging to orthodox churches, with introductory and occasional remarks / by John Wilson. "	"Wilson, John, 1802-1868."	1859-00-00	1	5058732			https://catalog.hathitrust.org/Record/011600454	https://hdl.handle.net/2027/hvd.32044077892727
hvd.32044105530869	Unitarian thought by Ephraim Emerton. 	"Emerton, Ephraim, 1851-1935."	1911-00-00	1	1403642	11001127	"9780790560557,0790560550,0790560550(microfiche)"	https://catalog.hathitrust.org/Record/005775931	https://hdl.handle.net/2027/hvd.32044105530869
hvd.ah4k3r	"Unitarian views vindicated. A reply to Rev. Henry M. Denison's Review of ""Unitarian views."" By John H. Heywood ... "	"Heywood, John H. 1818-1902."	1855-00-00	1	13484932	24013093		https://catalog.hathitrust.org/Record/001594712	https://hdl.handle.net/2027/hvd.ah4k3r
hvd.hwrrfm	"Unitarianism defended: a series of lectures by three Protestant dissenting ministers of Liverpool: in reply to a course of lectures, entitled ""Unitarianism confuted,"" by thirteen clergymen of the Church of England "	"Giles, Henry, 1809-1882. Martineau, James, 1805-1900. Thom, John Hamilton, 1808-1894."	1839-00-00	1	5979179			https://catalog.hathitrust.org/Record/001961843	https://hdl.handle.net/2027/hvd.hwrrfm
hvd.32044051079754	"Unitarianism defined : the scripture doctrine of the father, son and holy ghost; a course of lectures / by Frederick A. Farley. "	"Farley, Frederick A. 1800-1892."	1860-00-00	1	"181945978,14376185"	33032108	"9780524050088,0524050082,0524050082(microfiche)"	https://catalog.hathitrust.org/Record/008438270	https://hdl.handle.net/2027/hvd.32044051079754
hvd.32044054766944	"Unitarianism exhibited in its actual condition : consisting of essays by several Unitarian ministers and others, illustrative of the rise, progress, and principles of Christian anti-trinitarianism in different parts of the world / edited by J.R. Beard "	"Farley, Frederick A. (Frederick Augustus), 1800-1892. Beard, J. R. (John Relly), 1800-1876. British and Foreign Unitarian Association."	1846-00-00	1	4273505	47033985	"9780524039267,0524039267,0524039267(microfiche)"	https://catalog.hathitrust.org/Record/011531000	https://hdl.handle.net/2027/hvd.32044054766944
hvd.32044016896334	Unitarianism in America a history of its origin and development / by George Willis Cooke. 	"Cooke, George Willis, 1848-1923."	1902-00-00	1	"22986881,905585"	3000605	"9780790572130,0790572133,0790572133(microfiche)"	https://catalog.hathitrust.org/Record/009907069	https://hdl.handle.net/2027/hvd.32044016896334
hvd.32044081810475	Unitarianism philosophically and theologically examined. 	"Kohlmann, Anthony, 1771-1836."	1822-00-00	1	5764031	25023335		https://catalog.hathitrust.org/Record/001594738	https://hdl.handle.net/2027/hvd.32044081810475
hvd.ah4atl	Unitarianism the doctrine of the Gospel. A view of the Scriptural grounds of Unitarianism; with an examination of all the expressions in the New Testament which are generally considered as supporting opposite doctrines. 	"Carpenter, Lant, 1780-1840."	1811-00-00	1	26914579			https://catalog.hathitrust.org/Record/009707593	https://hdl.handle.net/2027/hvd.ah4atl
hvd.32044054764568	"Unitarianism the essence of vital Christianity : a sermon, preached at George's meeting, Exeter, July 10, 1817, before the members of the Western Unitarian Society and of the Devon and Cornwall Association / by John Kenrick."	"Kenrick, John, 1788-1877."	1817-00-00	1	181946334			https://catalog.hathitrust.org/Record/011530870	https://hdl.handle.net/2027/hvd.32044054764568
hvd.32044081810673	"Unitarianism untenable. A letter addressed to the Unitarians of Chester, Edinburgh and Norwich, Great Britain, and Pittsburgh, America. "	"Bakewell, W. J."	1843-00-00	1	16836798			https://catalog.hathitrust.org/Record/009729923	https://hdl.handle.net/2027/hvd.32044081810673
hvd.32044081809758	"Unitarianism, the ""way of the Lord"" / by George G. Ingersoll. "	"Ingersoll, George G. 1796-1863."	1845-00-00	1	5947453			https://catalog.hathitrust.org/Record/009731143	https://hdl.handle.net/2027/hvd.32044081809758
hvd.32044069834257	"Unitarianism: its origin and history. A course of sixteen lectures delivered in Channing Hall, Boston, 1888-89."	American Unitarian Association.	1890-00-00	9	4201739			https://catalog.hathitrust.org/Record/007675260	https://hdl.handle.net/2027/hvd.32044069834257
hvd.ah5e4d	Unitarians and the future / by Mrs. Humphrey Ward. 	"Ward, Humphry, Mrs., 1851-1920."	1894-00-00	1	2863531		"9780524007372,0524007373,0524007373(microfiche)"	https://catalog.hathitrust.org/Record/001961837	https://hdl.handle.net/2027/hvd.ah5e4d
hvd.32044051080000	What do Unitarians believe? / by Rev. Samuel J. May. -- 	"May, Samuel J. 1797-1871."	1865-00-00	1	31598729			https://catalog.hathitrust.org/Record/011535136	https://hdl.handle.net/2027/hvd.32044051080000
hvd.32044023355894	Who are the Unitarians? / by Augustus P. Reccord. 	"Reccord, Augustus P. 1870-1946."	1920-00-00	1	4110286	20020020		https://catalog.hathitrust.org/Record/009777877	https://hdl.handle.net/2027/hvd.32044023355894
